Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
8689	J11.1	Influenza due to unidentified influenza virus with other respiratory manifestations	4-char billing code	Condition	ICD10CM	Valid	Non-standard
28543	D000071243	Zika Virus Infection	Main Heading	Condition	MeSH	Valid	Non-standard
29783	31323000	Severe combined immunodeficiency disease	Disorder	Condition	SNOMED	Valid	Standard
74564	19431000	Rubella arthritis	Disorder	Condition	SNOMED	Valid	Standard
77360	29087002	Acquired cubitus varus	Disorder	Condition	SNOMED	Valid	Standard
80819	16123003	Acquired hallux varus	Disorder	Condition	SNOMED	Valid	Standard
81106	64925008	Acquired genu varum	Disorder	Condition	SNOMED	Valid	Standard
81395	81539007	Metatarsus primus varus	Disorder	Condition	SNOMED	Valid	Standard
81402	74820003	Congenital coxa vara	Disorder	Condition	SNOMED	Valid	Standard
81948	12067001	Acquired coxa vara	Disorder	Condition	SNOMED	Valid	Standard
133406	402902002	Roseola infantum caused by human herpesvirus 6	Disorder	Condition	SNOMED	Valid	Standard
133697	402903007	Roseola infantum caused by human herpesvirus 7	Disorder	Condition	SNOMED	Valid	Standard
192824	89231008	Mumps hepatitis	Disorder	Condition	SNOMED	Valid	Standard
194856	16060001	Hepatic coma due to viral hepatitis A	Disorder	Condition	SNOMED	Valid	Standard
195737	102455002	Hemorrhagic nephroso-nephritis	Disorder	Condition	SNOMED	Invalid	Non-standard
196620	78420004	Viral enteritis of intestine	Disorder	Condition	SNOMED	Valid	Standard
196625	111879004	Viral hepatitis A without hepatic coma	Disorder	Condition	SNOMED	Valid	Standard
196628	10665004	Mumps pancreatitis	Disorder	Condition	SNOMED	Valid	Standard
196895	24789006	Viral gastroenteritis caused by Norwalk-like agent	Disorder	Condition	SNOMED	Valid	Standard
200031	26206000	Hepatic coma due to viral hepatitis B	Disorder	Condition	SNOMED	Valid	Standard
200644	31524007	Mumps polyneuropathy	Disorder	Condition	SNOMED	Valid	Standard
200945	45129002	HTLV-1-associated myelopathy-tropical spastic paraparesis	Disorder	Condition	SNOMED	Invalid	Non-standard
252949	7678002	Cytomegaloviral pneumonia	Disorder	Condition	SNOMED	Valid	Standard
254058	195739001	Acute bronchiolitis caused by respiratory syncytial virus	Disorder	Condition	SNOMED	Valid	Standard
315469	27806003	Coxsackie pericarditis	Disorder	Condition	SNOMED	Valid	Standard
316631	128405007	Coxsackie carditis	Disorder	Condition	SNOMED	Valid	Standard
319728	37217002	Coxsackie myocarditis	Disorder	Condition	SNOMED	Valid	Standard
372241	792004	Creutzfeldt-Jakob disease	Disorder	Condition	SNOMED	Valid	Standard
373127	59523007	Herpes simplex disciform keratitis	Disorder	Condition	SNOMED	Valid	Standard
373692	392662004	West Nile encephalitis	Disorder	Condition	SNOMED	Valid	Standard
376026	428638009	Encephalitis caused by Herpesvirus	Disorder	Condition	SNOMED	Valid	Standard
376905	186591007	Encephalitis caused by Far Eastern tick-borne encephalitis virus	Disorder	Condition	SNOMED	Valid	Standard
377210	29943008	Herpes simplex dendritic keratitis	Disorder	Condition	SNOMED	Valid	Standard
377802	110270004	Late effects of poliomyelitis	Disorder	Condition	SNOMED	Valid	Standard
378065	31646008	Mumps encephalitis	Disorder	Condition	SNOMED	Valid	Standard
378361	60548004	Epidemic keratoconjunctivitis	Disorder	Condition	SNOMED	Valid	Standard
380324	111856000	Herpes simplex otitis externa	Disorder	Condition	SNOMED	Valid	Standard
380941	9678009	Meningoencephalitis caused by human herpes simplex virus	Disorder	Condition	SNOMED	Valid	Standard
381789	52947006	Japanese encephalitis virus disease	Disorder	Condition	SNOMED	Valid	Standard
432287	82286005	Hyperimmunoglobulin M syndrome	Disorder	Condition	SNOMED	Valid	Standard
